index,floretion,x_coord,y_coord,oct
48004,10385489,248,170,47474121
48005,10385490,248,171,47474122
48006,10385492,249,171,47474124
48007,10385495,249,170,47474127
48008,10385505,250,170,47474141
48009,10385506,250,171,47474142
48010,10385508,251,171,47474144
48011,10385511,251,170,47474147
48012,10385529,250,168,47474171
48013,10385530,250,169,47474172
48014,10385532,251,169,47474174
48015,10385535,251,168,47474177
48016,10385545,248,172,47474211
48017,10385546,248,173,47474212
48018,10385548,249,173,47474214
48019,10385551,249,172,47474217
48020,10385553,248,174,47474221
48021,10385554,248,175,47474222
48022,10385556,249,175,47474224
48023,10385559,249,174,47474227
48024,10385569,250,174,47474241
48025,10385570,250,175,47474242
48026,10385572,251,175,47474244
48027,10385575,251,174,47474247
48028,10385593,250,172,47474271
48029,10385594,250,173,47474272
48030,10385596,251,173,47474274
48031,10385599,251,172,47474277
48032,10385673,252,172,47474411
48033,10385674,252,173,47474412
48034,10385676,253,173,47474414
48035,10385679,253,172,47474417
48036,10385681,252,174,47474421
48037,10385682,252,175,47474422
48038,10385684,253,175,47474424
48039,10385687,253,174,47474427
48040,10385697,254,174,47474441
48041,10385698,254,175,47474442
48042,10385700,255,175,47474444
48043,10385703,255,174,47474447
48044,10385721,254,172,47474471
48045,10385722,254,173,47474472
48046,10385724,255,173,47474474
48047,10385727,255,172,47474477
48048,10385865,252,168,47474711
48049,10385866,252,169,47474712
48050,10385868,253,169,47474714
48051,10385871,253,168,47474717
48052,10385873,252,170,47474721
48053,10385874,252,171,47474722
48054,10385876,253,171,47474724
48055,10385879,253,170,47474727
48056,10385889,254,170,47474741
48057,10385890,254,171,47474742
48058,10385892,255,171,47474744
48059,10385895,255,170,47474747
48060,10385913,254,168,47474771
48061,10385914,254,169,47474772
48062,10385916,255,169,47474774
48063,10385919,255,168,47474777
48064,10387017,248,160,47477111
48065,10387018,248,161,47477112
48066,10387020,249,161,47477114
48067,10387023,249,160,47477117
48068,10387025,248,162,47477121
48069,10387026,248,163,47477122
48070,10387028,249,163,47477124
48071,10387031,249,162,47477127
48072,10387041,250,162,47477141
48073,10387042,250,163,47477142
48074,10387044,251,163,47477144
48075,10387047,251,162,47477147
48076,10387065,250,160,47477171
48077,10387066,250,161,47477172
48078,10387068,251,161,47477174
48079,10387071,251,160,47477177
48080,10387081,248,164,47477211
48081,10387082,248,165,47477212
48082,10387084,249,165,47477214
48083,10387087,249,164,47477217
48084,10387089,248,166,47477221
48085,10387090,248,167,47477222
